Winner, Standing, Pole, Fatest_lap, City, Overtaking, Lap_nb
Raiducknen, ['Raiducknen', 'Duckmilton', 'Prostduck', 'Schumaduck', 'Duckberg', 'Verstaduck', 'Ayrduck', 'Alonsduck', 'Buckton', 'Ducktel'], Ayrduck, 56, Madrid, 48, 17
Duckmilton, ['Duckmilton', 'Verstaduck', 'Ducktel', 'Duckberg', 'Schumaduck', 'Ayrduck', 'Buckton', 'Alonsduck', 'Prostduck', 'Raiducknen'], Schumaduck, 60, Pekin, 40, 20
Ayrduck, ['Ayrduck', 'Duckmilton', 'Alonsduck', 'Prostduck', 'Raiducknen', 'Schumaduck', 'Verstaduck', 'Ducktel', 'Duckberg', 'Buckton'], Alonsduck, 59, Rio, 50, 13
Duckmilton, ['Duckmilton', 'Raiducknen', 'Schumaduck', 'Prostduck', 'Ducktel', 'Verstaduck', 'Buckton', 'Duckberg', 'Ayrduck', 'Alonsduck'], Duckmilton, 52, Paris, 49, 14
Duckmilton, ['Duckmilton', 'Ducktel', 'Raiducknen', 'Buckton', 'Schumaduck', 'Alonsduck', 'Verstaduck', 'Ayrduck', 'Duckberg', 'Prostduck'], Schumaduck, 53, New York, 50, 13
Alonsduck, ['Alonsduck', 'Ayrduck', 'Duckmilton', 'Duckberg', 'Verstaduck', 'Raiducknen', 'Buckton', 'Schumaduck', 'Ducktel', 'Prostduck'], Prostduck, 60, Tokyo, 44, 10
Verstaduck, ['Verstaduck', 'Duckmilton', 'Duckberg', 'Ducktel', 'Schumaduck', 'Alonsduck', 'Raiducknen', 'Buckton', 'Prostduck', 'Ayrduck'], Ducktel, 50, Madrid, 48, 11
Duckmilton, ['Duckmilton', 'Prostduck', 'Ayrduck', 'Alonsduck', 'Verstaduck', 'Schumaduck', 'Raiducknen', 'Ducktel', 'Duckberg', 'Buckton'], Duckmilton, 52, Paris, 49, 18
Buckton, ['Buckton', 'Duckberg', 'Raiducknen', 'Duckmilton', 'Ducktel', 'Schumaduck', 'Verstaduck', 'Alonsduck', 'Prostduck', 'Ayrduck'], Buckton, 59, Berne, 45, 12
Ducktel, ['Ducktel', 'Duckmilton', 'Alonsduck', 'Verstaduck', 'Schumaduck', 'Duckberg', 'Prostduck', 'Raiducknen', 'Buckton', 'Ayrduck'], Duckberg, 56, Berne, 40, 12
Ayrduck, ['Ayrduck', 'Duckmilton', 'Alonsduck', 'Verstaduck', 'Duckberg', 'Raiducknen', 'Ducktel', 'Schumaduck', 'Prostduck', 'Buckton'], Duckmilton, 57, Berne, 42, 12
Duckmilton, ['Duckmilton', 'Duckberg', 'Prostduck', 'Raiducknen', 'Ducktel', 'Schumaduck', 'Verstaduck', 'Alonsduck', 'Buckton', 'Ayrduck'], Duckberg, 59, Paris, 48, 10
Duckmilton, ['Duckmilton', 'Ducktel', 'Schumaduck', 'Alonsduck', 'Verstaduck', 'Prostduck', 'Duckberg', 'Buckton', 'Raiducknen', 'Ayrduck'], Verstaduck, 52, Rome, 41, 11
Duckmilton, ['Duckmilton', 'Ducktel', 'Raiducknen', 'Buckton', 'Alonsduck', 'Schumaduck', 'Ayrduck', 'Duckberg', 'Verstaduck', 'Prostduck'], Alonsduck, 51, Berlin, 44, 14
Prostduck, ['Prostduck', 'Duckmilton', 'Raiducknen', 'Duckberg', 'Ayrduck', 'Alonsduck', 'Ducktel', 'Verstaduck', 'Schumaduck', 'Buckton'], Prostduck, 56, Rio, 41, 17
Duckmilton, ['Duckmilton', 'Prostduck', 'Schumaduck', 'Duckberg', 'Verstaduck', 'Ducktel', 'Alonsduck', 'Ayrduck', 'Raiducknen', 'Buckton'], Ducktel, 52, Madrid, 43, 14
Duckmilton, ['Duckmilton', 'Alonsduck', 'Raiducknen', 'Verstaduck', 'Schumaduck', 'Ducktel', 'Duckberg', 'Prostduck', 'Ayrduck', 'Buckton'], Ducktel, 57, Berne, 47, 14
Ducktel, ['Ducktel', 'Duckmilton', 'Verstaduck', 'Buckton', 'Alonsduck', 'Ayrduck', 'Schumaduck', 'Raiducknen', 'Duckberg', 'Prostduck'], Ducktel, 59, Berlin, 50, 20
Raiducknen, ['Raiducknen', 'Duckmilton', 'Verstaduck', 'Ducktel', 'Schumaduck', 'Duckberg', 'Alonsduck', 'Prostduck', 'Ayrduck', 'Buckton'], Schumaduck, 58, Paris, 42, 13
Duckmilton, ['Duckmilton', 'Raiducknen', 'Schumaduck', 'Verstaduck', 'Duckberg', 'Ducktel', 'Alonsduck', 'Buckton', 'Prostduck', 'Ayrduck'], Raiducknen, 54, Berne, 49, 17
Verstaduck, ['Verstaduck', 'Duckmilton', 'Duckberg', 'Prostduck', 'Schumaduck', 'Ducktel', 'Alonsduck', 'Raiducknen', 'Buckton', 'Ayrduck'], Ducktel, 55, Singapour, 43, 17
Raiducknen, ['Raiducknen', 'Duckmilton', 'Verstaduck', 'Prostduck', 'Schumaduck', 'Alonsduck', 'Ducktel', 'Duckberg', 'Ayrduck', 'Buckton'], Duckmilton, 59, Berlin, 41, 15
Schumaduck, ['Schumaduck', 'Duckmilton', 'Alonsduck', 'Prostduck', 'Duckberg', 'Verstaduck', 'Ayrduck', 'Raiducknen', 'Ducktel', 'Buckton'], Prostduck, 58, Rio, 47, 18
Duckmilton, ['Duckmilton', 'Duckberg', 'Ducktel', 'Schumaduck', 'Raiducknen', 'Alonsduck', 'Verstaduck', 'Prostduck', 'Ayrduck', 'Buckton'], Schumaduck, 58, Madrid, 43, 17
Duckmilton, ['Duckmilton', 'Raiducknen', 'Verstaduck', 'Duckberg', 'Ayrduck', 'Alonsduck', 'Schumaduck', 'Prostduck', 'Ducktel', 'Buckton'], Schumaduck, 55, Moscou, 40, 10
Duckmilton, ['Duckmilton', 'Raiducknen', 'Schumaduck', 'Prostduck', 'Verstaduck', 'Ducktel', 'Alonsduck', 'Buckton', 'Ayrduck', 'Duckberg'], Alonsduck, 60, Rome, 46, 19
Duckmilton, ['Duckmilton', 'Ducktel', 'Verstaduck', 'Alonsduck', 'Duckberg', 'Schumaduck', 'Raiducknen', 'Ayrduck', 'Prostduck', 'Buckton'], Buckton, 51, Berlin, 46, 10
Duckmilton, ['Duckmilton', 'Ducktel', 'Schumaduck', 'Alonsduck', 'Verstaduck', 'Raiducknen', 'Duckberg', 'Prostduck', 'Ayrduck', 'Buckton'], Alonsduck, 50, Pekin, 50, 20
Schumaduck, ['Schumaduck', 'Duckberg', 'Duckmilton', 'Prostduck', 'Buckton', 'Raiducknen', 'Alonsduck', 'Verstaduck', 'Ducktel', 'Ayrduck'], Ayrduck, 51, Madrid, 45, 10
Duckmilton, ['Duckmilton', 'Verstaduck', 'Prostduck', 'Schumaduck', 'Alonsduck', 'Buckton', 'Raiducknen', 'Ducktel', 'Duckberg', 'Ayrduck'], Alonsduck, 55, Londres, 40, 12
Duckmilton, ['Duckmilton', 'Raiducknen', 'Alonsduck', 'Buckton', 'Verstaduck', 'Schumaduck', 'Ducktel', 'Prostduck', 'Duckberg', 'Ayrduck'], Schumaduck, 50, Paris, 43, 16
Duckmilton, ['Duckmilton', 'Prostduck', 'Raiducknen', 'Ayrduck', 'Ducktel', 'Schumaduck', 'Buckton', 'Verstaduck', 'Alonsduck', 'Duckberg'], Buckton, 59, Tokyo, 48, 10
Prostduck, ['Prostduck', 'Duckmilton', 'Ducktel', 'Schumaduck', 'Verstaduck', 'Alonsduck', 'Buckton', 'Raiducknen', 'Ayrduck', 'Duckberg'], Verstaduck, 56, Pekin, 46, 10
Alonsduck, ['Alonsduck', 'Prostduck', 'Duckmilton', 'Schumaduck', 'Duckberg', 'Ducktel', 'Raiducknen', 'Verstaduck', 'Ayrduck', 'Buckton'], Schumaduck, 55, Rio, 48, 13
Duckberg, ['Duckberg', 'Duckmilton', 'Alonsduck', 'Raiducknen', 'Schumaduck', 'Ducktel', 'Prostduck', 'Verstaduck', 'Buckton', 'Ayrduck'], Duckmilton, 58, Tokyo, 49, 15
Duckmilton, ['Duckmilton', 'Schumaduck', 'Duckberg', 'Alonsduck', 'Raiducknen', 'Ducktel', 'Ayrduck', 'Verstaduck', 'Prostduck', 'Buckton'], Duckmilton, 51, New York, 42, 20
Verstaduck, ['Verstaduck', 'Duckmilton', 'Raiducknen', 'Schumaduck', 'Duckberg', 'Prostduck', 'Alonsduck', 'Ayrduck', 'Ducktel', 'Buckton'], Prostduck, 53, Londres, 41, 15
Duckmilton, ['Duckmilton', 'Alonsduck', 'Schumaduck', 'Raiducknen', 'Verstaduck', 'Ducktel', 'Buckton', 'Duckberg', 'Prostduck', 'Ayrduck'], Verstaduck, 57, Rio, 47, 12
Duckmilton, ['Duckmilton', 'Duckberg', 'Ducktel', 'Raiducknen', 'Schumaduck', 'Alonsduck', 'Verstaduck', 'Ayrduck', 'Buckton', 'Prostduck'], Verstaduck, 56, Londres, 44, 18
Schumaduck, ['Schumaduck', 'Ducktel', 'Raiducknen', 'Duckmilton', 'Duckberg', 'Alonsduck', 'Buckton', 'Verstaduck', 'Prostduck', 'Ayrduck'], Buckton, 60, New York, 47, 11
Duckmilton, ['Duckmilton', 'Raiducknen', 'Buckton', 'Prostduck', 'Schumaduck', 'Verstaduck', 'Ayrduck', 'Ducktel', 'Duckberg', 'Alonsduck'], Duckberg, 53, Moscou, 42, 12
Buckton, ['Buckton', 'Duckmilton', 'Verstaduck', 'Raiducknen', 'Schumaduck', 'Alonsduck', 'Duckberg', 'Ducktel', 'Ayrduck', 'Prostduck'], Ayrduck, 59, Rio, 42, 11
Duckmilton, ['Duckmilton', 'Schumaduck', 'Verstaduck', 'Ducktel', 'Raiducknen', 'Alonsduck', 'Prostduck', 'Ayrduck', 'Duckberg', 'Buckton'], Duckmilton, 55, Pekin, 41, 16
Duckmilton, ['Duckmilton', 'Raiducknen', 'Ducktel', 'Prostduck', 'Schumaduck', 'Duckberg', 'Buckton', 'Alonsduck', 'Ayrduck', 'Verstaduck'], Raiducknen, 56, Singapour, 42, 15
Duckmilton, ['Duckmilton', 'Duckberg', 'Schumaduck', 'Ducktel', 'Verstaduck', 'Ayrduck', 'Alonsduck', 'Raiducknen', 'Prostduck', 'Buckton'], Raiducknen, 58, New York, 47, 14
Duckmilton, ['Duckmilton', 'Verstaduck', 'Alonsduck', 'Ducktel', 'Raiducknen', 'Buckton', 'Ayrduck', 'Schumaduck', 'Prostduck', 'Duckberg'], Alonsduck, 54, Madrid, 43, 15
Duckmilton, ['Duckmilton', 'Schumaduck', 'Raiducknen', 'Ayrduck', 'Prostduck', 'Ducktel', 'Alonsduck', 'Duckberg', 'Verstaduck', 'Buckton'], Buckton, 58, Madrid, 45, 18
Duckmilton, ['Duckmilton', 'Prostduck', 'Verstaduck', 'Raiducknen', 'Ayrduck', 'Alonsduck', 'Schumaduck', 'Duckberg', 'Buckton', 'Ducktel'], Prostduck, 57, Londres, 47, 18
Duckmilton, ['Duckmilton', 'Ayrduck', 'Ducktel', 'Buckton', 'Verstaduck', 'Duckberg', 'Schumaduck', 'Alonsduck', 'Raiducknen', 'Prostduck'], Schumaduck, 60, Berlin, 48, 10
Prostduck, ['Prostduck', 'Duckmilton', 'Duckberg', 'Schumaduck', 'Raiducknen', 'Ducktel', 'Verstaduck', 'Ayrduck', 'Alonsduck', 'Buckton'], Raiducknen, 58, New York, 41, 14
Verstaduck, ['Verstaduck', 'Schumaduck', 'Ducktel', 'Alonsduck', 'Duckmilton', 'Raiducknen', 'Prostduck', 'Ayrduck', 'Buckton', 'Duckberg'], Duckmilton, 55, Rome, 47, 17
Schumaduck, ['Schumaduck', 'Ducktel', 'Duckmilton', 'Raiducknen', 'Prostduck', 'Verstaduck', 'Buckton', 'Alonsduck', 'Duckberg', 'Ayrduck'], Alonsduck, 55, Rio, 41, 16
Ducktel, ['Ducktel', 'Duckmilton', 'Prostduck', 'Verstaduck', 'Alonsduck', 'Schumaduck', 'Duckberg', 'Raiducknen', 'Ayrduck', 'Buckton'], Buckton, 53, Madrid, 41, 11
Alonsduck, ['Alonsduck', 'Duckmilton', 'Raiducknen', 'Buckton', 'Verstaduck', 'Duckberg', 'Schumaduck', 'Ducktel', 'Ayrduck', 'Prostduck'], Duckberg, 51, Singapour, 44, 19
Duckmilton, ['Duckmilton', 'Raiducknen', 'Prostduck', 'Duckberg', 'Alonsduck', 'Schumaduck', 'Ducktel', 'Buckton', 'Ayrduck', 'Verstaduck'], Ducktel, 51, Paris, 44, 17
Duckmilton, ['Duckmilton', 'Ducktel', 'Prostduck', 'Schumaduck', 'Ayrduck', 'Raiducknen', 'Duckberg', 'Verstaduck', 'Alonsduck', 'Buckton'], Raiducknen, 55, Rome, 47, 19
Alonsduck, ['Alonsduck', 'Duckmilton', 'Verstaduck', 'Ayrduck', 'Ducktel', 'Buckton', 'Schumaduck', 'Prostduck', 'Raiducknen', 'Duckberg'], Ducktel, 60, Londres, 48, 14
Raiducknen, ['Raiducknen', 'Duckmilton', 'Verstaduck', 'Duckberg', 'Schumaduck', 'Alonsduck', 'Prostduck', 'Ayrduck', 'Ducktel', 'Buckton'], Buckton, 58, Paris, 48, 17
Duckmilton, ['Duckmilton', 'Verstaduck', 'Raiducknen', 'Ducktel', 'Schumaduck', 'Alonsduck', 'Ayrduck', 'Buckton', 'Duckberg', 'Prostduck'], Raiducknen, 59, Pekin, 42, 15
Verstaduck, ['Verstaduck', 'Schumaduck', 'Alonsduck', 'Duckmilton', 'Raiducknen', 'Ayrduck', 'Ducktel', 'Prostduck', 'Buckton', 'Duckberg'], Ayrduck, 54, Paris, 49, 10
Duckmilton, ['Duckmilton', 'Schumaduck', 'Ducktel', 'Ayrduck', 'Verstaduck', 'Buckton', 'Alonsduck', 'Raiducknen', 'Duckberg', 'Prostduck'], Buckton, 60, Berlin, 44, 11
Alonsduck, ['Alonsduck', 'Schumaduck', 'Duckmilton', 'Verstaduck', 'Raiducknen', 'Prostduck', 'Duckberg', 'Ayrduck', 'Ducktel', 'Buckton'], Duckberg, 57, Berlin, 45, 11
Duckmilton, ['Duckmilton', 'Verstaduck', 'Duckberg', 'Prostduck', 'Schumaduck', 'Alonsduck', 'Ayrduck', 'Ducktel', 'Raiducknen', 'Buckton'], Duckberg, 52, Berne, 43, 13
Duckmilton, ['Duckmilton', 'Ducktel', 'Duckberg', 'Schumaduck', 'Verstaduck', 'Raiducknen', 'Prostduck', 'Alonsduck', 'Buckton', 'Ayrduck'], Schumaduck, 59, Tokyo, 47, 10
Duckmilton, ['Duckmilton', 'Verstaduck', 'Schumaduck', 'Prostduck', 'Raiducknen', 'Buckton', 'Alonsduck', 'Ducktel', 'Duckberg', 'Ayrduck'], Duckberg, 54, Rome, 45, 17
Ducktel, ['Ducktel', 'Duckmilton', 'Schumaduck', 'Raiducknen', 'Alonsduck', 'Prostduck', 'Buckton', 'Verstaduck', 'Duckberg', 'Ayrduck'], Duckberg, 55, Moscou, 49, 18
Duckmilton, ['Duckmilton', 'Verstaduck', 'Ducktel', 'Alonsduck', 'Raiducknen', 'Prostduck', 'Buckton', 'Ayrduck', 'Schumaduck', 'Duckberg'], Buckton, 52, New York, 40, 15
Schumaduck, ['Schumaduck', 'Duckmilton', 'Alonsduck', 'Verstaduck', 'Ducktel', 'Duckberg', 'Raiducknen', 'Prostduck', 'Ayrduck', 'Buckton'], Verstaduck, 51, Rome, 49, 19
Duckmilton, ['Duckmilton', 'Verstaduck', 'Ducktel', 'Schumaduck', 'Alonsduck', 'Raiducknen', 'Ayrduck', 'Duckberg', 'Buckton', 'Prostduck'], Verstaduck, 51, Pekin, 48, 18
Duckmilton, ['Duckmilton', 'Schumaduck', 'Alonsduck', 'Verstaduck', 'Raiducknen', 'Duckberg', 'Ducktel', 'Buckton', 'Ayrduck', 'Prostduck'], Duckmilton, 52, Berlin, 50, 12
Raiducknen, ['Raiducknen', 'Duckmilton', 'Duckberg', 'Verstaduck', 'Schumaduck', 'Ducktel', 'Alonsduck', 'Ayrduck', 'Prostduck', 'Buckton'], Schumaduck, 59, Rio, 43, 11
Duckmilton, ['Duckmilton', 'Ducktel', 'Alonsduck', 'Schumaduck', 'Verstaduck', 'Raiducknen', 'Duckberg', 'Buckton', 'Ayrduck', 'Prostduck'], Buckton, 53, Moscou, 41, 12
Duckmilton, ['Duckmilton', 'Buckton', 'Ducktel', 'Alonsduck', 'Schumaduck', 'Verstaduck', 'Raiducknen', 'Duckberg', 'Prostduck', 'Ayrduck'], Alonsduck, 56, Berlin, 47, 15
Duckmilton, ['Duckmilton', 'Duckberg', 'Alonsduck', 'Raiducknen', 'Ducktel', 'Verstaduck', 'Buckton', 'Schumaduck', 'Prostduck', 'Ayrduck'], Duckmilton, 58, Singapour, 47, 15
Duckmilton, ['Duckmilton', 'Alonsduck', 'Buckton', 'Verstaduck', 'Prostduck', 'Duckberg', 'Raiducknen', 'Schumaduck', 'Ducktel', 'Ayrduck'], Buckton, 51, Moscou, 49, 19
Duckmilton, ['Duckmilton', 'Prostduck', 'Alonsduck', 'Duckberg', 'Buckton', 'Ducktel', 'Verstaduck', 'Schumaduck', 'Ayrduck', 'Raiducknen'], Raiducknen, 50, Singapour, 46, 11
Duckmilton, ['Duckmilton', 'Raiducknen', 'Prostduck', 'Schumaduck', 'Verstaduck', 'Alonsduck', 'Ducktel', 'Ayrduck', 'Duckberg', 'Buckton'], Duckmilton, 54, Tokyo, 48, 13
Schumaduck, ['Schumaduck', 'Duckmilton', 'Alonsduck', 'Ducktel', 'Prostduck', 'Duckberg', 'Raiducknen', 'Buckton', 'Verstaduck', 'Ayrduck'], Verstaduck, 54, Singapour, 47, 11
Duckberg, ['Duckberg', 'Duckmilton', 'Raiducknen', 'Schumaduck', 'Alonsduck', 'Verstaduck', 'Ayrduck', 'Ducktel', 'Prostduck', 'Buckton'], Alonsduck, 54, Londres, 45, 17
Duckmilton, ['Duckmilton', 'Schumaduck', 'Raiducknen', 'Buckton', 'Alonsduck', 'Verstaduck', 'Duckberg', 'Prostduck', 'Ducktel', 'Ayrduck'], Prostduck, 50, Rio, 48, 17
Duckmilton, ['Duckmilton', 'Verstaduck', 'Alonsduck', 'Ducktel', 'Duckberg', 'Schumaduck', 'Raiducknen', 'Ayrduck', 'Prostduck', 'Buckton'], Ayrduck, 56, Rome, 48, 18
Duckmilton, ['Duckmilton', 'Ducktel', 'Buckton', 'Schumaduck', 'Prostduck', 'Alonsduck', 'Raiducknen', 'Verstaduck', 'Duckberg', 'Ayrduck'], Verstaduck, 50, Berlin, 44, 16
Duckmilton, ['Duckmilton', 'Raiducknen', 'Prostduck', 'Ducktel', 'Verstaduck', 'Schumaduck', 'Duckberg', 'Ayrduck', 'Buckton', 'Alonsduck'], Alonsduck, 50, Paris, 46, 11
Duckmilton, ['Duckmilton', 'Alonsduck', 'Ducktel', 'Verstaduck', 'Buckton', 'Raiducknen', 'Schumaduck', 'Duckberg', 'Prostduck', 'Ayrduck'], Prostduck, 58, Singapour, 48, 19
Buckton, ['Buckton', 'Duckmilton', 'Verstaduck', 'Ducktel', 'Alonsduck', 'Prostduck', 'Schumaduck', 'Raiducknen', 'Duckberg', 'Ayrduck'], Ayrduck, 58, Londres, 48, 16
Duckmilton, ['Duckmilton', 'Ducktel', 'Buckton', 'Verstaduck', 'Raiducknen', 'Alonsduck', 'Prostduck', 'Duckberg', 'Schumaduck', 'Ayrduck'], Alonsduck, 55, Rio, 41, 17
Schumaduck, ['Schumaduck', 'Ducktel', 'Duckmilton', 'Alonsduck', 'Ayrduck', 'Verstaduck', 'Duckberg', 'Raiducknen', 'Buckton', 'Prostduck'], Duckmilton, 51, Pekin, 49, 20
Verstaduck, ['Verstaduck', 'Duckmilton', 'Buckton', 'Alonsduck', 'Duckberg', 'Ducktel', 'Schumaduck', 'Prostduck', 'Ayrduck', 'Raiducknen'], Duckmilton, 51, Moscou, 45, 13
Duckmilton, ['Duckmilton', 'Ducktel', 'Raiducknen', 'Verstaduck', 'Schumaduck', 'Alonsduck', 'Duckberg', 'Ayrduck', 'Prostduck', 'Buckton'], Buckton, 54, Londres, 42, 14
Duckmilton, ['Duckmilton', 'Verstaduck', 'Prostduck', 'Schumaduck', 'Alonsduck', 'Ducktel', 'Raiducknen', 'Ayrduck', 'Duckberg', 'Buckton'], Schumaduck, 56, Rio, 40, 20
Duckmilton, ['Duckmilton', 'Verstaduck', 'Alonsduck', 'Raiducknen', 'Duckberg', 'Prostduck', 'Schumaduck', 'Ducktel', 'Ayrduck', 'Buckton'], Duckmilton, 58, Londres, 48, 13
Duckmilton, ['Duckmilton', 'Ducktel', 'Alonsduck', 'Schumaduck', 'Raiducknen', 'Buckton', 'Duckberg', 'Verstaduck', 'Ayrduck', 'Prostduck'], Alonsduck, 59, Rio, 42, 18
Duckmilton, ['Duckmilton', 'Schumaduck', 'Verstaduck', 'Raiducknen', 'Duckberg', 'Ducktel', 'Ayrduck', 'Alonsduck', 'Prostduck', 'Buckton'], Ayrduck, 60, Berlin, 45, 16
Duckmilton, ['Duckmilton', 'Prostduck', 'Ayrduck', 'Verstaduck', 'Schumaduck', 'Alonsduck', 'Duckberg', 'Buckton', 'Ducktel', 'Raiducknen'], Alonsduck, 60, Rio, 47, 10
Duckmilton, ['Duckmilton', 'Alonsduck', 'Verstaduck', 'Raiducknen', 'Duckberg', 'Schumaduck', 'Buckton', 'Ducktel', 'Prostduck', 'Ayrduck'], Prostduck, 59, Rio, 46, 18
Duckmilton, ['Duckmilton', 'Verstaduck', 'Raiducknen', 'Prostduck', 'Duckberg', 'Buckton', 'Alonsduck', 'Ducktel', 'Ayrduck', 'Schumaduck'], Duckmilton, 52, Berne, 48, 11
Duckmilton, ['Duckmilton', 'Raiducknen', 'Duckberg', 'Schumaduck', 'Ducktel', 'Alonsduck', 'Verstaduck', 'Ayrduck', 'Buckton', 'Prostduck'], Ayrduck, 60, Moscou, 50, 17
Duckmilton, ['Duckmilton', 'Buckton', 'Prostduck', 'Ducktel', 'Alonsduck', 'Duckberg', 'Verstaduck', 'Schumaduck', 'Raiducknen', 'Ayrduck'], Raiducknen, 55, Madrid, 48, 18
Duckmilton, ['Duckmilton', 'Schumaduck', 'Verstaduck', 'Alonsduck', 'Ducktel', 'Ayrduck', 'Duckberg', 'Raiducknen', 'Buckton', 'Prostduck'], Prostduck, 58, Rome, 41, 12
Duckmilton, ['Duckmilton', 'Verstaduck', 'Alonsduck', 'Schumaduck', 'Ducktel', 'Duckberg', 'Raiducknen', 'Buckton', 'Ayrduck', 'Prostduck'], Raiducknen, 50, New York, 46, 16
Ducktel, ['Ducktel', 'Schumaduck', 'Duckmilton', 'Alonsduck', 'Raiducknen', 'Verstaduck', 'Duckberg', 'Ayrduck', 'Buckton', 'Prostduck'], Verstaduck, 60, Madrid, 47, 16
Duckmilton, ['Duckmilton', 'Schumaduck', 'Duckberg', 'Alonsduck', 'Ayrduck', 'Verstaduck', 'Ducktel', 'Prostduck', 'Raiducknen', 'Buckton'], Ducktel, 60, Singapour, 46, 14
Raiducknen, ['Raiducknen', 'Verstaduck', 'Schumaduck', 'Duckmilton', 'Alonsduck', 'Buckton', 'Ayrduck', 'Ducktel', 'Prostduck', 'Duckberg'], Ayrduck, 54, Moscou, 46, 18
Verstaduck, ['Verstaduck', 'Duckmilton', 'Ducktel', 'Raiducknen', 'Ayrduck', 'Alonsduck', 'Schumaduck', 'Duckberg', 'Prostduck', 'Buckton'], Ayrduck, 58, Moscou, 44, 12
Duckmilton, ['Duckmilton', 'Prostduck', 'Schumaduck', 'Verstaduck', 'Raiducknen', 'Buckton', 'Alonsduck', 'Ducktel', 'Ayrduck', 'Duckberg'], Schumaduck, 59, Rome, 40, 12
Duckmilton, ['Duckmilton', 'Duckberg', 'Prostduck', 'Verstaduck', 'Ducktel', 'Alonsduck', 'Schumaduck', 'Raiducknen', 'Buckton', 'Ayrduck'], Duckmilton, 50, Moscou, 50, 20
Ducktel, ['Ducktel', 'Prostduck', 'Raiducknen', 'Duckmilton', 'Verstaduck', 'Schumaduck', 'Ayrduck', 'Duckberg', 'Alonsduck', 'Buckton'], Raiducknen, 57, Rio, 44, 18
Duckmilton, ['Duckmilton', 'Verstaduck', 'Ducktel', 'Prostduck', 'Schumaduck', 'Ayrduck', 'Alonsduck', 'Duckberg', 'Raiducknen', 'Buckton'], Raiducknen, 59, Pekin, 42, 11
Duckmilton, ['Duckmilton', 'Ducktel', 'Alonsduck', 'Duckberg', 'Raiducknen', 'Schumaduck', 'Verstaduck', 'Ayrduck', 'Prostduck', 'Buckton'], Alonsduck, 51, Pekin, 45, 18
Duckmilton, ['Duckmilton', 'Duckberg', 'Buckton', 'Ducktel', 'Schumaduck', 'Prostduck', 'Ayrduck', 'Alonsduck', 'Verstaduck', 'Raiducknen'], Ayrduck, 52, Madrid, 41, 19
Duckmilton, ['Duckmilton', 'Alonsduck', 'Verstaduck', 'Schumaduck', 'Duckberg', 'Ducktel', 'Buckton', 'Prostduck', 'Raiducknen', 'Ayrduck'], Duckmilton, 59, Pekin, 46, 20
Duckmilton, ['Duckmilton', 'Duckberg', 'Raiducknen', 'Schumaduck', 'Buckton', 'Verstaduck', 'Prostduck', 'Alonsduck', 'Ducktel', 'Ayrduck'], Schumaduck, 52, Rio, 41, 13
Duckmilton, ['Duckmilton', 'Ducktel', 'Raiducknen', 'Alonsduck', 'Prostduck', 'Buckton', 'Schumaduck', 'Verstaduck', 'Duckberg', 'Ayrduck'], Duckberg, 58, Moscou, 46, 20
Duckmilton, ['Duckmilton', 'Prostduck', 'Ayrduck', 'Alonsduck', 'Raiducknen', 'Schumaduck', 'Verstaduck', 'Duckberg', 'Buckton', 'Ducktel'], Duckmilton, 55, Londres, 45, 19
Duckmilton, ['Duckmilton', 'Verstaduck', 'Schumaduck', 'Raiducknen', 'Prostduck', 'Alonsduck', 'Ayrduck', 'Ducktel', 'Duckberg', 'Buckton'], Ducktel, 51, Rio, 41, 13
Verstaduck, ['Verstaduck', 'Ducktel', 'Duckmilton', 'Buckton', 'Duckberg', 'Schumaduck', 'Raiducknen', 'Prostduck', 'Alonsduck', 'Ayrduck'], Alonsduck, 56, Londres, 42, 20
Schumaduck, ['Schumaduck', 'Duckmilton', 'Duckberg', 'Ayrduck', 'Buckton', 'Verstaduck', 'Ducktel', 'Prostduck', 'Alonsduck', 'Raiducknen'], Raiducknen, 55, Berlin, 40, 19
Schumaduck, ['Schumaduck', 'Duckmilton', 'Ayrduck', 'Alonsduck', 'Raiducknen', 'Verstaduck', 'Buckton', 'Prostduck', 'Duckberg', 'Ducktel'], Prostduck, 52, Tokyo, 42, 10
Duckmilton, ['Duckmilton', 'Verstaduck', 'Ayrduck', 'Ducktel', 'Prostduck', 'Raiducknen', 'Duckberg', 'Schumaduck', 'Alonsduck', 'Buckton'], Duckberg, 55, Berlin, 47, 20
Duckmilton, ['Duckmilton', 'Prostduck', 'Alonsduck', 'Schumaduck', 'Verstaduck', 'Buckton', 'Ducktel', 'Duckberg', 'Raiducknen', 'Ayrduck'], Schumaduck, 50, Pekin, 45, 12
Alonsduck, ['Alonsduck', 'Duckmilton', 'Duckberg', 'Verstaduck', 'Prostduck', 'Raiducknen', 'Schumaduck', 'Buckton', 'Ducktel', 'Ayrduck'], Duckmilton, 53, Paris, 40, 19
Duckmilton, ['Duckmilton', 'Verstaduck', 'Alonsduck', 'Ayrduck', 'Ducktel', 'Duckberg', 'Schumaduck', 'Buckton', 'Prostduck', 'Raiducknen'], Alonsduck, 53, Paris, 45, 11
Duckberg, ['Duckberg', 'Duckmilton', 'Alonsduck', 'Schumaduck', 'Ducktel', 'Prostduck', 'Ayrduck', 'Verstaduck', 'Raiducknen', 'Buckton'], Ducktel, 59, Londres, 44, 20
